"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000179921",5.45730066302129,-0.870110737369425,0.990493094615595,-0.878462194334742,0.379692945465247,NA,"GPBAR1"
"ENSG00000127837",3269.90787762806,0.26771910168195,0.217531287141781,1.23071538443782,0.218429332092457,0.893529485259494,"AAMP"
"ENSG00000127838",578.83384120872,0.285392261754247,0.250287001563981,1.14026002137907,0.254177988223225,0.927851143664942,"PNKD"
"ENSG00000135926",776.921120022333,0.269471182910925,0.202681471386142,1.32953042558852,0.18367303472714,0.867262708820593,"TMBIM1"
"ENSG00000230580",1.2815990802502,-0.0749662748757157,1.99345758297271,-0.0376061550122995,0.970001700404807,NA,"RPL19P5"
"ENSG00000158428",2.80080969487687,-0.0357740623543906,1.47297043399586,-0.0242870199759157,0.980623666637229,NA,"CATIP"
"ENSG00000225062",2.73503560751897,1.14087511128754,1.4912190905642,0.765062034483408,0.444234605811943,NA,"CATIP-AS1"
"ENSG00000018280",2.39848261144901,-1.0166952805488,1.69899626327609,-0.598409368239786,0.549566816343882,NA,"SLC11A1"
"ENSG00000144579",777.068353652321,-0.00499253525724131,0.284279254251863,-0.0175620808855016,0.985988207078063,0.999280528424376,"CTDSP1"
"ENSG00000127831",261.414577194525,0.161333505332505,0.296420635718207,0.544272179099829,0.586254188711618,0.995223898895569,"VIL1"
"ENSG00000135913",323.699143325154,-0.480432616298042,0.387812677019549,-1.23882648703055,0.215409762605306,0.891538240452117,"USP37"
"ENSG00000144580",2052.61626318892,-0.104502974603579,0.195915304252243,-0.533408939145615,0.593750530891365,0.995223898895569,"CNOT9"
"ENSG00000115556",72.2110279111369,-0.0819570781625861,0.319376761489889,-0.25661565913643,0.797475485476937,0.996963966487092,"PLCD4"
"ENSG00000273466",15.6254536349523,0.34271360945683,0.706681662526081,0.484961797695129,0.627703444634009,0.996963966487092,NA
"ENSG00000115568",417.157569765108,0.0543507102522938,0.299309439799988,0.181587023411668,0.855906833353509,0.996963966487092,"ZNF142"
"ENSG00000074582",447.684165764008,0.161667604925766,0.250187913110752,0.646184713384613,0.518159738248457,0.995223898895569,"BCS1L"
